,customer_id,customer_age,gender_male,gender_female,total_purchase_last_3_months,purchase_month_1,purchase_month_2,purchase_month_3,purchase_week_1,purchase_week_2,purchase_week_3,purchase_week_4,category_books,category_clothing,category_electronics,category_home,most_common_payment_method_cash,most_common_payment_method_credit_card,most_common_payment_method_crypto,most_common_payment_method_paypal
368,24866,40,0,1,7761,4497.0,3264.0,0.0,4497.0,0.0,0.0,3264.0,8.0,0.0,0.0,5.0,0,1,0,0
373,2864,40,0,1,1868,1868.0,0.0,0.0,1868.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0,0,0,1
377,48598,48,0,1,2135,2135.0,0.0,0.0,2135.0,0.0,0.0,0.0,13.0,5.0,0.0,2.0,0,0,0,1
384,30041,36,1,0,3709,3709.0,0.0,0.0,3709.0,0.0,0.0,1731.0,4.0,0.0,4.0,5.0,1,0,0,0
388,18890,53,1,0,4098,4098.0,0.0,0.0,4098.0,0.0,0.0,0.0,1.0,7.0,5.0,1.0,0,1,0,0
393,25798,70,0,1,8765,5067.0,0.0,3698.0,5067.0,0.0,0.0,3698.0,6.0,6.0,9.0,5.0,0,0,0,1
401,19511,39,1,0,1048,1048.0,0.0,0.0,1048.0,0.0,0.0,0.0,9.0,8.0,5.0,2.0,0,1,0,0
407,44616,51,0,1,4864,4864.0,0.0,0.0,1693.0,3171.0,0.0,0.0,9.0,0.0,0.0,0.0,0,0,0,1
409,2935,52,0,1,1668,1668.0,0.0,0.0,1668.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,1,0,0,0
412,47245,65,0,1,5188,5188.0,0.0,0.0,5188.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0,1,0,0
417,1350,46,1,0,3260,3260.0,0.0,0.0,3260.0,0.0,0.0,0.0,4.0,7.0,0.0,5.0,0,1,0,0
423,20370,34,0,1,2774,2774.0,0.0,0.0,2774.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0,1,0,0
425,15574,60,1,0,4486,1730.0,0.0,2756.0,1730.0,0.0,0.0,2756.0,7.0,11.0,9.0,4.0,0,1,0,0
433,556,28,0,1,3229,3229.0,0.0,0.0,3229.0,0.0,0.0,0.0,9.0,4.0,4.0,2.0,0,1,0,0
439,727,21,1,0,2165,1206.0,0.0,959.0,1206.0,0.0,0.0,959.0,5.0,0.0,4.0,2.0,1,0,0,0
442,18972,70,1,0,1945,1945.0,0.0,0.0,1945.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,0,1,0,0
446,20592,28,1,0,4241,4241.0,0.0,0.0,4241.0,0.0,0.0,0.0,6.0,8.0,11.0,5.0,0,1,0,0
456,10687,59,0,1,1142,1142.0,0.0,0.0,1142.0,0.0,0.0,5201.0,3.0,7.0,3.0,5.0,1,0,0,0
461,22131,52,0,1,9498,9498.0,0.0,0.0,7362.0,0.0,2136.0,0.0,10.0,8.0,7.0,3.0,0,0,0,1
472,29460,34,0,1,966,966.0,0.0,0.0,966.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0,1,0,0
474,7896,66,1,0,4234,4234.0,0.0,0.0,4234.0,0.0,0.0,4641.0,9.0,5.0,2.0,4.0,1,0,0,0
480,5978,28,1,0,2925,2925.0,0.0,0.0,2925.0,0.0,0.0,0.0,0.0,10.0,5.0,1.0,0,0,0,1
486,3576,30,1,0,1865,1865.0,0.0,0.0,1865.0,0.0,0.0,0.0,14.0,8.0,5.0,11.0,0,1,0,0
500,3254,27,1,0,3409,3409.0,0.0,0.0,3409.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,1,0,0,0
505,26881,63,1,0,1768,1768.0,0.0,0.0,1768.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,0,1,0,0
510,29089,68,0,1,4306,4306.0,0.0,0.0,4306.0,0.0,0.0,0.0,2.0,9.0,4.0,10.0,0,0,0,1
517,6717,56,0,1,3526,3526.0,0.0,0.0,3526.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0,1,0,0
522,9575,44,1,0,6565,3921.0,0.0,2644.0,3921.0,0.0,0.0,2644.0,4.0,6.0,2.0,10.0,0,0,0,1
532,5684,68,1,0,4698,4698.0,0.0,0.0,2301.0,0.0,2397.0,0.0,12.0,10.0,0.0,0.0,0,1,0,0
539,48873,49,0,1,1835,1835.0,0.0,0.0,1835.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1,0,0,0
542,38623,19,0,1,3141,3141.0,0.0,0.0,3141.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,1,0,0,0
547,8370,42,1,0,4348,4348.0,0.0,0.0,4348.0,0.0,0.0,0.0,7.0,5.0,5.0,2.0,0,1,0,0
552,41085,66,0,1,4305,4305.0,0.0,0.0,4305.0,0.0,0.0,7826.0,13.0,3.0,0.0,3.0,0,1,0,0
557,30759,36,0,1,7242,2458.0,4784.0,0.0,2458.0,0.0,0.0,4784.0,0.0,4.0,5.0,9.0,0,1,0,0
562,18314,45,0,1,3066,3066.0,0.0,0.0,3066.0,0.0,0.0,0.0,4.0,10.0,4.0,4.0,0,0,0,1
570,11509,52,1,0,3091,3091.0,0.0,0.0,3091.0,0.0,0.0,2887.0,9.0,2.0,8.0,1.0,0,1,0,0
577,4939,39,1,0,603,603.0,0.0,0.0,603.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0,1,0,0
581,19235,33,1,0,8937,6132.0,2805.0,0.0,2870.0,3262.0,0.0,2805.0,0.0,7.0,6.0,0.0,1,0,0,0
585,30410,20,1,0,4297,4297.0,0.0,0.0,4297.0,0.0,0.0,0.0,7.0,7.0,2.0,0.0,0,1,0,0
592,17603,47,1,0,2189,2189.0,0.0,0.0,2189.0,0.0,0.0,0.0,7.0,5.0,4.0,1.0,0,1,0,0
598,43249,70,1,0,1701,1701.0,0.0,0.0,1701.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0,1,0,0
601,3211,30,0,1,2598,2598.0,0.0,0.0,2598.0,0.0,0.0,0.0,13.0,0.0,6.0,2.0,0,1,0,0
608,47762,64,0,1,9038,5041.0,3997.0,0.0,5041.0,0.0,0.0,3997.0,8.0,7.0,4.0,0.0,0,1,0,0
616,17555,34,1,0,1754,1754.0,0.0,0.0,478.0,1276.0,0.0,3418.0,2.0,4.0,10.0,3.0,0,0,0,1
622,9809,22,1,0,691,691.0,0.0,0.0,691.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0,1,0,0
627,3671,25,0,1,10910,1945.0,4005.0,4960.0,1945.0,0.0,0.0,8965.0,7.0,4.0,0.0,8.0,0,1,0,0
635,42278,24,0,1,3782,3782.0,0.0,0.0,3782.0,0.0,0.0,0.0,4.0,10.0,2.0,0.0,0,1,0,0
641,29859,26,0,1,2288,2288.0,0.0,0.0,2288.0,0.0,0.0,2704.0,5.0,3.0,2.0,1.0,1,0,0,0
645,10179,36,1,0,6039,4761.0,0.0,1278.0,4761.0,0.0,0.0,1278.0,0.0,5.0,9.0,2.0,0,1,0,0
649,28622,69,1,0,3410,1664.0,0.0,1746.0,1664.0,0.0,0.0,1746.0,1.0,4.0,0.0,3.0,0,1,0,0
652,17596,28,1,0,3012,3012.0,0.0,0.0,3012.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0,1,0,0
655,41051,41,0,1,3018,3018.0,0.0,0.0,3018.0,0.0,0.0,0.0,9.0,6.0,2.0,0.0,1,0,0,0
661,13646,38,0,1,4359,4359.0,0.0,0.0,4359.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,1,0,0,0
665,47792,54,0,1,3129,3129.0,0.0,0.0,3129.0,0.0,0.0,904.0,0.0,4.0,4.0,5.0,0,1,0,0
668,43928,25,0,1,8332,3639.0,4693.0,0.0,3639.0,0.0,0.0,4693.0,2.0,5.0,3.0,4.0,0,1,0,0
672,42045,38,1,0,2841,2841.0,0.0,0.0,2841.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0,0,0,1
676,39880,39,1,0,5298,837.0,0.0,4461.0,837.0,0.0,0.0,7081.0,9.0,1.0,5.0,0.0,1,0,0,0
680,6868,29,0,1,11494,4027.0,5045.0,2422.0,448.0,0.0,0.0,11046.0,2.0,5.0,1.0,9.0,1,0,0,0
687,26505,24,1,0,4266,4266.0,0.0,0.0,4266.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,1,0,0,0
691,19088,25,1,0,5400,3619.0,1781.0,0.0,3619.0,0.0,0.0,1781.0,4.0,7.0,1.0,4.0,0,1,0,0
697,47151,59,1,0,1113,1113.0,0.0,0.0,1113.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0,1,0,0
700,26347,45,0,1,3825,3825.0,0.0,0.0,2059.0,0.0,0.0,6084.0,8.0,13.0,4.0,0.0,0,1,0,0
707,3951,49,0,1,5850,5850.0,0.0,0.0,5091.0,0.0,0.0,759.0,14.0,1.0,9.0,5.0,0,0,0,1
715,19364,68,1,0,3299,3299.0,0.0,0.0,3299.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1,0,0,0
719,10651,69,0,1,5173,5173.0,0.0,0.0,5173.0,0.0,0.0,1284.0,12.0,7.0,0.0,3.0,0,1,0,0
726,15228,55,1,0,8883,6803.0,2080.0,0.0,4767.0,0.0,0.0,4116.0,10.0,8.0,3.0,5.0,0,1,0,0
734,47909,50,0,1,512,512.0,0.0,0.0,512.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,0,1,0,0
738,49955,29,1,0,3661,3661.0,0.0,0.0,3661.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0,0,0,1
741,32951,54,0,1,2184,2184.0,0.0,0.0,2184.0,0.0,0.0,0.0,1.0,11.0,5.0,3.0,0,1,0,0
748,43184,49,1,0,1014,1014.0,0.0,0.0,1014.0,0.0,0.0,1645.0,9.0,5.0,0.0,6.0,0,0,0,1
755,37292,34,1,0,796,796.0,0.0,0.0,796.0,0.0,0.0,7769.0,0.0,4.0,5.0,2.0,1,0,0,0
761,2632,58,0,1,3119,3119.0,0.0,0.0,3119.0,0.0,0.0,0.0,12.0,5.0,4.0,1.0,1,0,0,0
768,40233,59,1,0,4742,4742.0,0.0,0.0,4742.0,0.0,0.0,0.0,4.0,6.0,8.0,2.0,0,1,0,0
775,18311,25,1,0,3359,3359.0,0.0,0.0,3359.0,0.0,0.0,0.0,7.0,9.0,5.0,6.0,0,1,0,0
785,23337,22,1,0,1821,1821.0,0.0,0.0,1821.0,0.0,0.0,0.0,14.0,0.0,4.0,1.0,0,1,0,0
792,49866,45,1,0,1919,1919.0,0.0,0.0,1919.0,0.0,0.0,0.0,8.0,4.0,0.0,7.0,0,0,0,1
797,48294,31,0,1,361,361.0,0.0,0.0,361.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0,1,0,0
802,36600,32,1,0,2345,2345.0,0.0,0.0,2345.0,0.0,0.0,0.0,6.0,3.0,0.0,4.0,0,1,0,0
807,41155,28,1,0,4558,4558.0,0.0,0.0,4558.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1,0,0,0
810,17379,64,1,0,8660,3985.0,4675.0,0.0,3985.0,0.0,0.0,4675.0,9.0,18.0,0.0,1.0,0,1,0,0
818,23148,45,1,0,1675,1675.0,0.0,0.0,1675.0,0.0,0.0,0.0,4.0,5.0,10.0,0.0,0,1,0,0
822,12384,54,0,1,8605,3529.0,0.0,5076.0,3529.0,0.0,0.0,5076.0,9.0,2.0,5.0,11.0,0,0,0,1
830,31790,65,0,1,3268,1881.0,0.0,1387.0,1881.0,0.0,0.0,1387.0,15.0,13.0,3.0,5.0,0,1,0,0
839,36391,44,1,0,1507,1507.0,0.0,0.0,1507.0,0.0,0.0,0.0,6.0,4.0,5.0,5.0,0,1,0,0
845,26827,69,1,0,2366,2366.0,0.0,0.0,2366.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0,1,0,0
847,28714,48,1,0,6040,3199.0,2841.0,0.0,3199.0,0.0,0.0,2841.0,9.0,9.0,0.0,3.0,0,0,0,1
855,32290,57,0,1,3838,2149.0,1689.0,0.0,2149.0,0.0,0.0,1689.0,7.0,1.0,2.0,0.0,0,1,0,0
859,4714,52,0,1,2113,2113.0,0.0,0.0,2113.0,0.0,0.0,0.0,7.0,6.0,4.0,0.0,0,1,0,0
864,32334,41,0,1,9543,5071.0,0.0,4472.0,5071.0,0.0,0.0,4472.0,3.0,7.0,4.0,5.0,0,1,0,0
871,36882,36,0,1,4820,4820.0,0.0,0.0,4820.0,0.0,0.0,0.0,12.0,6.0,0.0,11.0,0,1,0,0
880,11343,68,1,0,2888,2888.0,0.0,0.0,516.0,0.0,2372.0,0.0,2.0,5.0,4.0,4.0,0,1,0,0
885,9763,25,0,1,7947,7947.0,0.0,0.0,4943.0,0.0,0.0,3004.0,3.0,5.0,11.0,0.0,1,0,0,0
892,5436,30,1,0,7044,3346.0,3698.0,0.0,3346.0,0.0,0.0,3698.0,5.0,1.0,0.0,3.0,0,1,0,0
896,28624,44,0,1,2072,2072.0,0.0,0.0,2072.0,0.0,0.0,0.0,20.0,5.0,1.0,4.0,0,1,0,0
905,35564,52,0,1,6008,4355.0,0.0,1653.0,4355.0,0.0,0.0,1653.0,10.0,1.0,0.0,4.0,1,0,0,0
911,37403,36,0,1,1323,1323.0,0.0,0.0,1323.0,0.0,0.0,249.0,8.0,19.0,5.0,8.0,0,0,0,1
922,42408,51,1,0,3291,3291.0,0.0,0.0,3291.0,0.0,0.0,0.0,16.0,5.0,0.0,4.0,0,1,0,0
928,36208,29,1,0,2696,2696.0,0.0,0.0,2696.0,0.0,0.0,0.0,4.0,7.0,13.0,3.0,0,1,0,0
937,18181,34,0,1,260,260.0,0.0,0.0,260.0,0.0,0.0,2270.0,9.0,4.0,1.0,5.0,0,1,0,0
944,12095,19,1,0,2012,2012.0,0.0,0.0,2012.0,0.0,0.0,0.0,6.0,4.0,4.0,1.0,1,0,0,0
950,42828,46,1,0,11304,4127.0,3164.0,4013.0,4127.0,0.0,0.0,7177.0,13.0,0.0,5.0,9.0,0,1,0,0
957,33694,60,1,0,9072,9072.0,0.0,0.0,4564.0,0.0,0.0,4508.0,9.0,6.0,12.0,5.0,1,0,0,0
968,10411,41,0,1,3207,1730.0,1477.0,0.0,1730.0,0.0,0.0,1477.0,0.0,0.0,13.0,3.0,0,0,0,1
972,17971,53,1,0,5124,5124.0,0.0,0.0,5124.0,0.0,0.0,2860.0,5.0,12.0,0.0,0.0,0,1,0,0
976,24484,46,0,1,6760,6760.0,0.0,0.0,1603.0,5157.0,0.0,0.0,6.0,6.0,3.0,0.0,0,1,0,0
982,26964,47,0,1,3101,3101.0,0.0,0.0,3101.0,0.0,0.0,0.0,6.0,7.0,1.0,4.0,0,1,0,0
989,20724,37,1,0,3182,3182.0,0.0,0.0,3182.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1,0,0,0
991,44069,41,1,0,5080,5080.0,0.0,0.0,5080.0,0.0,0.0,0.0,15.0,1.0,8.0,4.0,0,1,0,0
999,30175,63,0,1,949,949.0,0.0,0.0,949.0,0.0,0.0,0.0,10.0,4.0,5.0,5.0,0,1,0,0
1004,6336,43,0,1,2785,2785.0,0.0,0.0,2785.0,0.0,0.0,0.0,9.0,8.0,0.0,3.0,0,0,0,1
1009,20441,69,0,1,3500,3500.0,0.0,0.0,3500.0,0.0,0.0,0.0,7.0,12.0,0.0,10.0,0,1,0,0
1016,26800,47,0,1,2727,2727.0,0.0,0.0,2727.0,0.0,0.0,0.0,10.0,5.0,0.0,7.0,0,1,0,0
1022,5257,61,1,0,2412,2412.0,0.0,0.0,1597.0,0.0,815.0,4370.0,0.0,14.0,2.0,8.0,1,0,0,0
1030,23274,31,1,0,1828,1828.0,0.0,0.0,1828.0,0.0,0.0,0.0,14.0,6.0,9.0,0.0,0,0,0,1
1041,43180,68,0,1,9664,6623.0,3041.0,0.0,1538.0,5085.0,0.0,3041.0,2.0,2.0,3.0,0.0,0,1,0,0
1045,40516,42,0,1,3364,3364.0,0.0,0.0,3364.0,0.0,0.0,0.0,5.0,10.0,5.0,0.0,1,0,0,0
1051,28218,22,0,1,1659,1659.0,0.0,0.0,1659.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0,0,0,1
1055,759,45,0,1,804,804.0,0.0,0.0,804.0,0.0,0.0,0.0,2.0,5.0,1.0,7.0,0,1,0,0
1061,9507,60,1,0,4590,4590.0,0.0,0.0,1627.0,0.0,0.0,4454.0,15.0,12.0,1.0,0.0,0,1,0,0
1071,11646,45,1,0,5980,2002.0,0.0,3978.0,2002.0,0.0,0.0,3978.0,5.0,10.0,5.0,4.0,0,1,0,0
1080,35280,36,0,1,4820,4820.0,0.0,0.0,4820.0,0.0,0.0,0.0,1.0,5.0,5.0,8.0,0,1,0,0
1086,25161,64,1,0,3140,3140.0,0.0,0.0,3140.0,0.0,0.0,5033.0,7.0,6.0,3.0,7.0,1,0,0,0
1094,45031,69,1,0,3942,3942.0,0.0,0.0,3942.0,0.0,0.0,4710.0,6.0,12.0,3.0,0.0,0,1,0,0
1101,42667,50,0,1,5032,5032.0,0.0,0.0,5032.0,0.0,0.0,0.0,3.0,10.0,8.0,5.0,0,1,0,0
1109,17880,49,0,1,3637,3637.0,0.0,0.0,3637.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,1,0,0,0
1112,35861,35,0,1,211,211.0,0.0,0.0,211.0,0.0,0.0,3457.0,6.0,4.0,0.0,7.0,1,0,0,0
1119,2473,64,0,1,4033,4033.0,0.0,0.0,4033.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,0,1,0,0
1122,3850,35,1,0,5164,5164.0,0.0,0.0,5164.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0,1,0,0
1125,42314,27,0,1,456,456.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0
1127,20078,22,1,0,4874,4874.0,0.0,3070.0,4874.0,0.0,0.0,8783.0,4.0,14.0,3.0,0.0,0,1,0,0
1133,18390,26,1,0,6205,6205.0,0.0,0.0,3263.0,0.0,2942.0,0.0,19.0,7.0,9.0,1.0,1,0,0,0
1143,27387,64,1,0,405,405.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,1,0,0
1145,49622,42,0,1,2199,303.0,0.0,1896.0,303.0,0.0,0.0,1896.0,7.0,3.0,9.0,10.0,0,1,0,0
1157,8870,48,0,1,3571,3571.0,0.0,0.0,3571.0,0.0,0.0,0.0,5.0,15.0,2.0,4.0,0,1,0,0
1164,23445,24,1,0,8137,4774.0,0.0,3363.0,4774.0,0.0,0.0,4790.0,4.0,10.0,5.0,5.0,0,1,0,0
1171,48344,39,0,1,4403,4403.0,0.0,0.0,4403.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0,0,0,1
1174,40972,22,1,0,3745,1227.0,2518.0,0.0,1227.0,0.0,0.0,2518.0,6.0,6.0,2.0,0.0,0,1,0,0
1179,10937,24,0,1,4078,1380.0,2698.0,0.0,1380.0,0.0,0.0,2698.0,7.0,8.0,0.0,5.0,0,0,0,1
1185,988,46,0,1,5378,4490.0,888.0,0.0,4490.0,0.0,0.0,888.0,5.0,4.0,3.0,0.0,1,0,0,0
1189,13285,44,1,0,3207,3207.0,0.0,0.0,3207.0,0.0,0.0,0.0,10.0,2.0,2.0,5.0,0,1,0,0
1194,46559,46,1,0,4145,4145.0,0.0,0.0,4145.0,0.0,0.0,2425.0,7.0,1.0,4.0,1.0,0,1,0,0
1200,21041,25,0,1,1520,1520.0,0.0,0.0,1520.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1,0,0,0
1206,6757,48,0,1,1936,1936.0,0.0,0.0,1936.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0,1,0,0
1211,20095,67,1,0,3705,3705.0,0.0,0.0,1572.0,0.0,2133.0,0.0,3.0,8.0,4.0,3.0,0,1,0,0
